shire,rainfall.yearToDate,tos_field_ph,Straw Yield /Ha Cereal Crop Average over 5 years
albany,10.733333333333334,5.75,2.53
beverley,1.3,7.5,2.14
bruce rock,16.933333333333334,6.0,1.04
carnamah,0.2,6.5,0.85
coorow,6.699999999999999,7.0,0.74
dandaragan,3.5999999999999996,6.0,2.98
dumbleyung,2.4000000000000004,8.0,1.6
gingin,0.4000000000000001,6.5,2.28
irwin,0.0,7.0,1.98
jerramungup,19.666666666666668,6.75,1.84
kellerberrin,8.8,6.5,1.23
koorda,12.0,7.5,0.58
kulin,2.3,6.5,0.97
lake grace,16.65,7.166666666666667,1.12
merredin,26.200000000000003,6.0,0.77
mount marshall,29.299999999999997,7.75,0.69
mukinbudin,28.8,6.5,0.72
narembeen,41.4,9.0,0.9
northam,1.6,5.75,2.13
northampton,0.5,6.6,1.34
perenjori,36.333333333333336,6.75,0.0
ravensthorpe,24.342857142857145,6.625,1.76
three springs,25.2,8.5,1.0
west arthur,0.7,5.0,2.33
westonia,41.0,6.5,0.7
yilgarn,25.399999999999995,6.9,0.5
